identificación,Apellidos,Nombres,Edad,Genero,Asginatura,Nota
545,Zebedee,Arnold,25,Femenino,FullS,0.8
546,Robena,Ebbrell,29,,,0.22
547,Leonard,Peacocke,58,Femenino,Front,0.8
548,Wallis,Poor,22,Femenino,Front,1.11
549,Wynny,Thaxter,53,Femenino,,0.45
550,Shurlock,Neale,29,Masculino,Back,2.65
551,Ailyn,Oxherd,28,,Front,2.63
552,Morlee,Utley,57,Masculino,Back,2.37
553,Merrie,Yarmouth,36,Femenino,Front,0.94
554,Laural,Morrish,42,Masculino,Front,2.99
555,Fanechka,Eliesco,55,No Binario,FullS,1.6
556,Fritz,Reschke,22,Femenino,Front,2.58
557,Walden,Vinson,24,Masculino,Front,1.55
558,Eleonora,Kearsley,,Masculino,Front,3.09
559,Clem,McGenn,,Femenino,Front,0.53
560,Eleanor,Goseling,30,Femenino,Back,0.37
561,Jillian,Folliott,24,Femenino,FullS,3.0
562,Cob,Chable,19,No Binario,FullS,0.27
563,Teodorico,Sawell,42,Femenino,Back,3.7
564,Kirk,Giorgietto,57,,Back,3.75
565,Lawry,Nottingam,32,Masculino,FullS,0.66
566,Felizio,Ziehm,,Masculino,Back,3.05
567,Joete,Adney,17,Masculino,,1.64
568,Obidiah,Cavan,46,Masculino,Front,3.95
569,Aurthur,Auchterlonie,36,Masculino,Front,1.48
570,Willetta,Dyet,30,Femenino,Front,3.9
571,Arabel,Rosenblatt,21,Femenino,Back,0.96
572,Herman,Dibnah,29,Masculino,Back,2.71
573,Dorris,Ovize,53,Femenino,FullS,1.09
574,Eileen,Summergill,17,Masculino,Back,1.18
575,Catharine,Bretherick,27,Femenino,Back,3.49
576,Ruby,Goode,34,Femenino,Front,3.58
577,Jane,Caple,53,Femenino,Back,3.68
578,Darbee,Keightley,52,Femenino,FullS,2.32
579,Lib,Broderick,32,Femenino,Back,0.98
580,Cammy,Satterley,58,Femenino,Back,2.65
581,Jojo,Teasell,44,Masculino,Back,3.53
582,Dianne,Rolfe,29,Masculino,Front,0.42
583,Frederica,Plumptre,38,Masculino,Front,
584,Kath,Roscow,53,Femenino,FullS,1.69
585,Darlleen,Ivashnyov,17,,Front,1.83
586,Dominik,Glanister,58,Masculino,Front,2.48
587,Lilyan,Lowre,31,,FullS,3.14
588,Ailyn,Halpeine,56,Femenino,Back,
589,Lazarus,Norheny,28,No Binario,FullS,2.0
590,Deedee,Peealess,24,Masculino,Back,0.48
591,Franciska,Toovey,42,Femenino,Back,1.35
592,Berke,Barbara,35,Femenino,Front,0.88
593,Maisey,Sheircliffe,49,No Binario,FullS,0.02
594,Claretta,Claesens,59,Masculino,Back,1.53
595,Emmalynne,Groves,37,,FullS,1.1
596,Shep,Kleisle,28,Femenino,Front,2.4
597,Sigismond,Prebble,19,Femenino,Back,1.45
598,Georges,Knoles,31,Femenino,FullS,3.41
599,Iseabal,Hagan,16,Masculino,Back,3.68
600,Temple,Culpin,55,Masculino,FullS,3.09
601,Hakeem,Brunicke,41,Femenino,Front,2.18
602,Sherlock,Krysztofiak,,Femenino,Front,1.92
603,Bent,Dederich,47,Femenino,Front,0.87
604,Euphemia,Kynoch,55,Femenino,Front,1.32
605,Missie,Smallridge,37,Masculino,Front,3.45
606,Adella,South,53,Masculino,Back,1.24
607,Phoebe,Goodinge,22,No Binario,Back,1.47
608,Dov,Vaud,32,Masculino,Front,3.62
609,Leesa,Nealy,55,Femenino,Back,2.38
610,Marv,Blondin,20,Masculino,Front,3.28
611,Richmound,Detoile,32,Femenino,Front,0.8
612,Kimberlee,McCrostie,38,,Front,2.67
613,Shanon,Casillas,35,Femenino,Back,2.9
614,Gilda,Mixture,53,Femenino,Front,1.87
615,Huntley,Cholomin,27,Masculino,Front,0.39
616,Elinore,Besemer,52,Femenino,FullS,3.56
617,Mellicent,Chown,20,Femenino,FullS,
618,Meggie,Gerson,49,Femenino,FullS,2.94
619,Eula,Crossby,56,Masculino,Front,2.36
620,Cecil,Menlove,39,Femenino,Back,3.84
621,Rufe,Fannon,30,Masculino,Front,0.67
622,Kyla,Powers,26,No Binario,Back,1.4
623,Barn,Bradtke,28,No Binario,Front,2.32
624,Clyde,Deares,,Masculino,Back,2.98
625,Kayle,Walkingshaw,33,Femenino,Back,2.01
626,Bertrando,Smedmore,30,Femenino,Front,2.66
627,Bekki,Polet,51,Masculino,Front,3.57
628,Glen,Pardi,22,Femenino,Back,0.45
629,Becka,Matyushenko,21,Masculino,Front,3.21
630,Townie,Reeme,16,Femenino,Front,0.68
631,Eamon,Jeffery,50,,Back,1.94
632,Donnamarie,O'Cooney,44,Femenino,Back,0.55
633,Craggie,Eidler,58,Femenino,Front,3.79
634,Trip,Davids,57,Femenino,Front,2.98
635,Darb,Rembrandt,35,Femenino,Front,1.03
636,Odie,Stewartson,33,Masculino,Front,2.37
637,Brewster,Champerlen,24,Femenino,FullS,2.53
638,Carry,Jeffreys,57,Femenino,Back,1.85
639,Emmalyn,Avieson,59,Femenino,Back,0.99
640,Arvin,Castard,29,Femenino,Back,0.08
641,Tyler,Krzyzaniak,27,Femenino,Front,1.52
642,Cherlyn,Estcourt,33,Femenino,Front,0.7
643,Sunshine,Eyeington,34,No Binario,Back,3.46
644,Merrill,Forlong,38,Femenino,FullS,1.59
645,Arlen,Thirlwall,27,No Binario,Front,1.27
646,Sherie,Osment,42,Masculino,Front,0.16
647,Brewster,Woodson,24,Femenino,Front,0.13
648,Seward,Kubal,31,Femenino,FullS,3.36
649,Morissa,Pavie,20,Femenino,Back,1.15
650,Korie,Whiffen,29,Masculino,Back,0.21
651,Henrie,London,26,Masculino,Back,
652,Jeremie,Elderton,22,Femenino,Back,2.06
653,Vicki,Gentzsch,46,No Binario,Front,1.52
654,Moreen,Diehn,,Femenino,Front,
655,Karina,Lindeberg,45,Femenino,Front,0.5
656,Gillie,Bloodworthe,45,Masculino,Back,1.45
657,Trumaine,Ghelardi,45,Femenino,Front,
658,Derrick,Oiseau,34,Femenino,Back,3.92
659,Mirabelle,Hechlin,50,,Front,2.36
660,Annalise,Thrussell,46,Masculino,Back,2.9
661,Mirna,Lamberton,39,Masculino,Front,1.67
662,Irwin,Chapple,39,Femenino,Front,0.07
663,Ethelbert,Headley,58,Femenino,FullS,3.69
664,Jesselyn,Beeckx,34,Femenino,Front,
665,Tessi,Whiff,27,,Front,2.46
666,Asia,McKinstry,,Masculino,FullS,2.54
667,Timofei,Pendreigh,28,Femenino,Back,0.29
668,Daven,Longthorne,39,Masculino,FullS,0.79
669,Giacobo,Biasi,58,Masculino,Front,2.66
670,Riannon,Kovnot,37,No Binario,Front,3.25
671,Norris,Jess,,Femenino,Front,0.93
672,Huntington,Blackford,37,Femenino,Front,3.03
673,Bordy,Mennithorp,41,Femenino,Front,0.8
674,Isabelle,Buzine,24,Femenino,Front,2.35
675,Hedwiga,Turbitt,27,Masculino,Front,1.83
676,Melesa,Klimsch,23,Femenino,Back,2.91
677,Ely,Josephoff,45,Masculino,Back,0.74
678,Pavel,Cluitt,41,Femenino,Front,1.42
679,Ewen,Heavy,40,No Binario,Back,1.77
680,Ali,Fairey,39,Femenino,Back,1.88
681,Anya,Garie,57,Femenino,FullS,1.08
682,Halette,Di Matteo,37,Masculino,Back,0.68
683,Avram,Reynold,23,,Front,2.35
684,Carter,Holliar,33,No Binario,Back,
685,Brook,Choat,32,Femenino,FullS,2.65
686,Andrus,Heinsen,50,Femenino,Back,0.76
687,Renie,Alldread,48,,Back,3.69
688,Zeke,Tawse,50,Femenino,Back,3.27
689,Catharina,Thickett,43,Femenino,Front,
690,Consuela,Dadson,35,No Binario,Front,2.92
691,Wileen,Grisedale,46,No Binario,Back,3.28
692,Nicolais,Pfeffer,21,Masculino,Back,3.21
693,Avram,Phillis,59,Femenino,Front,0.36
694,Benjy,Watford,54,Masculino,Back,1.98
695,Mechelle,Graysmark,38,Masculino,Front,2.6
696,Bentlee,Ferrarotti,53,,Front,3.34
697,Kean,Dicken,48,Femenino,Front,2.25
698,Breena,Fawltey,55,Femenino,Back,3.62
699,Wallis,Sporle,,Masculino,Front,3.45
700,Kristo,Malzard,19,,Back,2.69
701,Odella,Hasselby,22,Masculino,Front,1.84
702,Jamaal,Jedraszczyk,,Masculino,Front,3.77
703,Tessi,Brick,23,Masculino,Front,0.89
704,Irita,Tern,32,Masculino,Back,0.97
705,Felike,Dederich,51,Femenino,Front,0.66
706,Lynnell,Savin,53,Masculino,Front,1.11
707,Bree,Philipson,33,Femenino,Front,0.03
708,Doralin,Reach,27,No Binario,Back,3.48
709,Peyter,Tsarovic,44,Femenino,Front,1.1
710,Gaylord,Durtnell,45,Femenino,FullS,2.71
711,Ardelis,Ricson,26,Femenino,Front,0.85
712,Modesta,Tolomelli,45,Femenino,FullS,1.98
713,Elita,Shovlar,18,Masculino,Back,2.7
714,Devi,McDugal,27,Femenino,Front,2.98
715,Brenna,Warbey,42,Femenino,Front,1.92
716,Lolly,Lampett,45,Femenino,Front,1.23
717,Stella,Foyster,,Femenino,Front,1.64
718,Jephthah,Vanyushkin,17,Masculino,,0.91
719,Ree,Ronaghan,19,Masculino,FullS,1.44
720,Clerissa,Dalyell,25,Masculino,Back,1.25
721,Petrina,Rubel,56,Femenino,Back,2.7
722,Stella,Bande,53,Femenino,Front,2.56
723,Violet,Poyntz,32,Femenino,Back,1.4
724,Jerry,Falconer-Taylor,18,Femenino,Front,3.67
725,Claudetta,Jodrelle,17,Femenino,FullS,3.05
726,Lewiss,Cuttelar,55,Femenino,Front,3.97
727,David,Serchwell,52,Femenino,Front,3.48
728,Juditha,Mallion,50,,Back,0.82
729,Charmane,Craster,24,Masculino,Front,1.55
730,Dallas,Sessions,31,Femenino,Front,1.64
731,Alaster,Musprat,48,Masculino,FullS,3.81
732,Gradey,Malster,33,Femenino,Back,1.13
733,Neil,Kerwood,59,Masculino,FullS,0.93
734,Hussein,McGarrity,57,Femenino,FullS,1.73
735,Davita,Calterone,17,Masculino,Back,1.02
736,Alair,Sawkins,18,Masculino,FullS,0.76
737,Darcey,Gorring,54,Masculino,FullS,0.78
738,Rosabelle,Beneix,16,No Binario,Back,3.85
739,Davin,Lesley,33,Femenino,FullS,1.44
740,Jillane,Stear,44,No Binario,FullS,2.36
741,Marmaduke,Mark,23,Femenino,Front,0.92
742,Teodoro,Lydon,36,No Binario,Front,0.32
743,Evita,Simonnet,48,Femenino,Front,0.88
744,Sanderson,Swindell,21,Masculino,Front,2.4
745,Rex,Pierpoint,26,Masculino,Front,1.89
746,Rudolf,Binden,47,Masculino,Front,2.81
747,Siward,Rochford,17,,Back,3.45
748,Ossie,Dandie,58,Masculino,Back,3.07
749,Tremayne,Philcott,57,Femenino,Back,1.28
750,Cedric,Severn,52,No Binario,FullS,2.61
751,Guglielmo,Loyns,16,Femenino,Front,1.55
752,Halsey,Handman,54,Femenino,,1.03
753,Kial,Dmiterko,17,,Front,3.6
754,Betti,Swyne,28,Femenino,Front,2.97
755,Jilly,Humberston,28,Femenino,FullS,1.56
756,Celene,Oven,17,Masculino,Front,
757,Jaymee,Biaggetti,53,Masculino,FullS,2.88
758,Clea,Trudgeon,38,Femenino,Back,2.43
759,Cece,Nusche,50,Femenino,Front,0.45
760,Sada,Schultze,28,Masculino,Back,1.21
761,Steffie,Longmate,47,Masculino,FullS,3.04
762,Gasparo,Kingzeth,48,No Binario,Front,3.41
763,Andrey,Callendar,45,No Binario,Front,0.48
764,Steven,Hanburry,21,Masculino,FullS,
765,Pris,Benardette,53,Femenino,Back,1.35
766,Porter,McWhirter,60,,Front,1.65
767,Mattie,Dommerque,57,Femenino,Front,0.88
768,Melva,Dawber,34,Masculino,FullS,1.62
769,Kellsie,Norcross,60,Femenino,Front,0.53
770,Katrina,Doche,55,Femenino,Back,2.62
771,Brietta,O' Meara,18,Femenino,Front,2.41
772,Inna,Hoyer,49,Femenino,Front,3.96
773,Timmie,Sellman,55,Femenino,Back,1.79
774,Murry,Gibbe,51,Femenino,Front,3.99
775,Alexis,Barlass,23,Masculino,Front,0.18
776,Teresina,Cesco,25,Masculino,FullS,1.8
777,Lethia,Bonds,26,Femenino,Back,3.59
778,Yorker,Eady,42,Femenino,FullS,
779,Trisha,Pill,37,Masculino,Back,
780,Marijo,McCourt,33,Femenino,Front,2.98
781,Christye,Trudgeon,59,Masculino,Front,1.25
782,Elbertina,Yockney,35,Masculino,Front,2.12
783,Prudy,Pickervance,39,,FullS,0.36
784,Ricoriki,Koppe,,Masculino,Front,3.71
785,Theodore,Teague,18,Femenino,FullS,3.0
786,Teri,Harvie,21,Femenino,Front,0.07
787,Arlyn,MacAndie,21,No Binario,FullS,0.39
788,Tiphanie,Lafoy,27,Femenino,Front,2.64
789,Rowen,Cummine,42,No Binario,FullS,
790,Judas,Loyns,39,Femenino,Front,1.31
791,Feodora,Perillio,38,No Binario,Front,
792,Morganne,Swine,32,No Binario,Back,1.0
793,Lonnie,Lydiate,24,No Binario,Front,2.44
794,Al,Beckworth,35,Masculino,Front,2.37
795,Anabelle,Bente,51,,FullS,0.07
796,Anson,Mehew,24,Femenino,Front,0.97
797,Urban,Memmory,42,Femenino,FullS,3.19
798,Sherry,Droogan,31,Masculino,Front,3.15
799,Reeva,Storrs,16,Femenino,Front,
800,Allison,MacSporran,26,Masculino,FullS,1.91
801,Willem,Birtwhistle,16,Masculino,Front,3.14
802,Irina,Coppledike,38,Femenino,FullS,1.58
803,Tiertza,MacCosto,26,Masculino,Back,2.05
804,Lynsey,Norkett,51,Femenino,Front,2.59
805,Fayre,Redbourn,17,Femenino,Front,0.86
806,Cecilia,Leipoldt,45,Masculino,Front,1.38
807,Glynda,Cocke,55,Masculino,Front,2.48
808,Byram,Rentoul,36,,FullS,3.32
809,Loutitia,Gumley,22,Femenino,FullS,1.48
810,Ailina,Stoddard,23,Masculino,FullS,1.55
811,Brook,Philbrick,,Femenino,Front,0.67
812,Tallou,Cometson,23,Femenino,Back,2.53
813,Vikky,Workman,59,Femenino,Back,3.45
814,Bertrand,Irnys,20,Femenino,Back,1.21
815,Kerianne,Slevin,46,Masculino,FullS,0.85
816,Stanleigh,Arnecke,20,No Binario,Front,1.98
817,Thia,Impy,57,Femenino,Front,0.5
818,Lillis,Husk,31,Femenino,Back,2.41
819,Consolata,Rowlatt,34,Masculino,Back,3.51
820,Ailis,Truesdale,,Femenino,Back,3.79
821,Bone,Samett,48,Femenino,Front,2.14
822,Stepha,Richten,29,Masculino,Back,0.43
823,Drusilla,Steventon,35,Femenino,Front,3.04
824,Zondra,Sollowaye,31,Femenino,Back,2.97
825,Matteo,Stuchbury,,Masculino,Front,3.27
826,Way,Pinwell,36,Femenino,,0.26
827,Jillian,Fitchen,21,No Binario,Front,1.18
828,Gertrudis,Niesegen,60,No Binario,FullS,1.04
829,Wenda,Gagin,17,Femenino,FullS,3.91
830,Valma,Karlik,37,Femenino,Front,1.21
831,Edythe,Adamov,33,Masculino,FullS,
832,Emmeline,Camillo,44,Masculino,Back,0.77
833,Jdavie,Ricarde,33,Femenino,Front,3.67
834,Nancee,Aldam,39,Femenino,Back,2.65
835,Averell,Mancell,28,Femenino,FullS,1.1
836,Bucky,Grigorushkin,25,No Binario,Back,0.89
837,Hi,Emlyn,46,Masculino,Front,3.91
838,Ursula,Coyne,52,Masculino,FullS,2.73
839,Sybila,Brownett,24,,Front,3.15
840,Brady,Michelmore,59,Femenino,FullS,3.95
841,Aubry,Wisby,28,Masculino,Back,1.53
842,Fiona,Thirtle,33,Masculino,Back,1.75
843,Berthe,Massy,44,Femenino,Front,2.44
844,Wilow,Winchurst,58,Femenino,FullS,2.14
845,Daron,Keasey,44,Femenino,,2.27
846,Gilli,Parkin,23,Femenino,Back,0.4
847,Tarrah,Petit,30,Femenino,Front,0.18
848,Shandeigh,Pariso,35,,Back,3.51
849,Lolly,Lambin,45,Masculino,Back,3.52
850,Aurora,Genny,30,Masculino,Front,3.97
851,Rafaelia,Jinkinson,53,No Binario,Back,1.62
852,Gerry,Milverton,43,Femenino,Front,3.99
853,Hasty,Metcalfe,34,Femenino,Back,0.89
854,Janith,Sanchiz,22,Femenino,Back,2.48
855,Alfonso,Greally,19,Masculino,Back,0.32
856,Stefania,Worvell,43,Masculino,Front,1.35
857,Camile,Kinver,18,Femenino,FullS,1.01
858,Shirl,Reggiani,52,No Binario,Front,3.63
859,Shayla,Norwich,59,No Binario,Front,1.56
860,Nadeen,Boij,60,No Binario,Front,1.75
861,Valery,Dalwood,37,,Front,3.79
862,Carlynn,Rossant,27,Femenino,Back,0.32
863,Melita,Bellson,52,Femenino,FullS,1.56
864,Yolande,Wickstead,59,Masculino,FullS,1.13
865,Anni,Robottom,50,Femenino,Back,0.17
866,Gordy,Mouncher,56,Femenino,FullS,0.52
867,Shawn,Piola,44,Masculino,FullS,2.47
868,Henderson,Rushbrook,27,Femenino,Front,3.49
869,Clay,Seeds,17,Femenino,Back,
870,Noemi,Rounsefull,51,Masculino,Back,1.8
871,Lucho,Nezey,22,Femenino,Front,2.85
872,Jackie,Sperling,30,Masculino,Front,0.2
873,Colas,Lavies,24,Femenino,Front,
874,Sherri,Marshal,41,,Back,3.62
875,Camilla,Vokins,29,Femenino,Back,0.44
876,Torrey,Dickings,20,Femenino,Front,2.7
877,Darcie,Claire,52,Masculino,FullS,0.25
878,Maressa,Caseri,28,Femenino,Front,3.32
879,Amie,Andreaccio,60,Femenino,Back,0.11
880,Jaclyn,Jaquiss,46,Femenino,FullS,3.11
881,Maximilien,Joontjes,41,Masculino,Back,3.67
882,Neely,Stuckow,,Femenino,FullS,3.82
883,Farah,Tuffin,56,Femenino,FullS,1.84
884,Cecilla,Lackey,16,Masculino,Front,
885,Ema,Errett,59,Masculino,Back,2.72
886,Marti,Watson-Brown,53,Femenino,Back,2.62
887,Tuesday,Bradane,55,Femenino,Front,1.51
888,Bearnard,Remirez,31,,Front,2.26
889,Camille,MacAnulty,60,No Binario,Front,3.01
890,Cyndie,Kenealy,16,Masculino,FullS,0.33
891,Brooks,Feldheim,55,Femenino,Front,1.91
892,Merell,Blannin,46,Femenino,Front,3.44
893,Gustave,Obispo,60,Femenino,Back,1.05
894,Consolata,Sanzio,27,Masculino,Back,1.8
895,Ricoriki,Summerell,45,Masculino,Back,2.38
896,Caz,Shynn,44,Masculino,Back,3.78
897,Cobbie,Vequaud,35,,Front,0.58
898,Mellie,Zucker,38,Femenino,Back,1.61
899,Debbi,Browncey,30,Femenino,Back,0.23
900,Pearce,Kimbly,28,Femenino,Front,2.75
901,Archy,Rostern,49,Masculino,Back,1.25
902,Andreana,Fallon,56,Femenino,Front,1.97
903,Oberon,Brelsford,46,Femenino,Front,0.23
904,Fernandina,Limeburner,53,Femenino,Back,0.68
905,Elicia,Kingsmill,24,Femenino,Back,3.77
906,Barde,Everix,58,Masculino,Back,3.4
907,Shalna,Digginson,19,Femenino,Front,0.78
908,Charlena,Blind,33,Femenino,Front,2.11
909,Bethany,Lamlin,47,Femenino,Front,1.41
910,Donny,Carter,44,Masculino,Back,0.87
911,Uri,Suddock,33,Masculino,Back,3.06
912,Hanna,Meaddowcroft,,Masculino,Front,1.32
913,Jacquetta,Pantry,22,Femenino,Back,2.64
914,Latrina,Rowsell,32,Femenino,Front,0.39
915,Travus,Gocher,45,Masculino,Front,2.94
916,Miles,Odgers,50,Femenino,Back,3.68
917,Gregor,Rebillard,18,Femenino,Front,3.57
918,Dione,Gueste,37,Masculino,Front,3.32
919,Shanta,Antoniat,40,Masculino,,1.53
920,Alyosha,Ackland,29,Femenino,Back,2.28
921,Rochester,Oldknowe,32,Femenino,Front,1.87
922,Gram,Vyse,35,Femenino,FullS,0.92
923,Emerson,McRorie,17,,Back,1.21
924,Tabor,Bisley,43,Femenino,Front,2.18
925,Lance,Danilishin,49,,Front,0.93
926,Kipper,Goodhall,,No Binario,Front,1.73
927,Bartolomeo,Edwicker,29,Femenino,Back,0.61
928,Waylan,Stebles,49,Masculino,Front,3.5
929,Blake,Sidden,55,Femenino,Back,2.61
930,Lindsay,Strettle,60,Femenino,FullS,3.43
931,Candice,McNeilly,34,,Front,1.34
932,Clementina,Hatchman,56,Femenino,Back,3.61
933,Tremain,Dripp,42,Femenino,FullS,2.85
934,Star,Doodney,28,Femenino,FullS,1.83
935,Yolane,Crampton,57,Femenino,FullS,1.59
936,Cam,Boyne,35,No Binario,Front,0.68
937,El,Medling,55,Femenino,Back,2.16
938,Zsa zsa,Urien,53,Femenino,Front,3.36
939,Norbert,Iacovuzzi,26,Femenino,Back,2.99
940,Alf,Guyon,21,Masculino,FullS,2.94
941,Diandra,Crammy,56,Femenino,FullS,0.87
942,Anestassia,Hollows,29,No Binario,Back,3.5
943,Johann,Larrie,,Masculino,Back,2.45
944,Robina,Arnfield,48,Femenino,Front,0.49
945,Giraldo,Le Ball,38,Masculino,FullS,1.31
946,Pepito,Petrasch,60,Masculino,Front,
947,Carin,Prettejohns,39,Femenino,Front,2.69
948,Elyse,Sharvill,57,,Front,2.06
949,Niels,Gravenor,17,Femenino,Front,2.08
950,Woodie,Laundon,41,Femenino,Front,1.68
951,Bertie,Hurley,24,Masculino,Front,0.38
952,Vance,McGrey,60,No Binario,Back,2.24
953,Malanie,Robertz,45,Femenino,Back,2.5
954,Eryn,Borsnall,46,Femenino,Back,0.03
955,Kristien,Sextie,58,Femenino,FullS,1.52
956,Ester,Troke,53,Femenino,Front,0.49
957,Luella,Thor,39,Femenino,Back,3.79
958,Codie,Legrand,16,,Front,3.02
959,Rockwell,Seviour,38,Femenino,Back,2.66
960,Lauryn,Shotboult,56,Femenino,Front,2.58
961,Philly,Epton,38,Femenino,Back,0.92
962,Ermina,Aarons,26,Femenino,Front,0.09
963,Candra,Kleiner,18,Masculino,FullS,3.71
964,Estell,Ebbitt,,Masculino,Back,3.2
965,Hoyt,Murcutt,43,Femenino,Front,2.32
966,Ketti,Dilawey,40,No Binario,Back,3.69
967,Jacky,Ratnage,56,Femenino,FullS,0.7
968,Cad,Faithorn,41,Femenino,Back,1.59
969,Euphemia,Mattiello,58,Femenino,Front,2.51
970,Ellynn,Warne,,Masculino,Front,3.18
971,Wilie,Pirozzi,50,Masculino,Back,1.72
972,Halimeda,Kemson,20,No Binario,FullS,0.75
973,Palmer,Flintuff,46,Femenino,Front,2.11
974,Clea,Keyho,30,,Back,2.24
975,Dannie,Hanshaw,29,,FullS,1.97
976,Josee,Rozanski,46,Femenino,FullS,2.64
977,Thatcher,Courtin,25,Femenino,Back,0.5
978,Allard,Brecknell,51,Masculino,FullS,2.79
979,Marney,Remington,42,Femenino,FullS,3.06
980,Florella,Hartnell,57,Femenino,Front,2.8
981,Bea,Moxson,35,Femenino,FullS,2.57
982,Salem,Pylkynyton,,Femenino,Front,0.52
983,Reggis,Grassi,16,Femenino,Front,
984,Eddi,Reynish,34,Femenino,FullS,2.01
985,Faith,Lofthouse,49,Masculino,,0.28
986,Ashby,Burchnall,39,Masculino,Front,1.91
987,Durward,Surby,27,No Binario,FullS,1.15
988,Maxine,Habershaw,53,Masculino,Back,3.53
989,Dianne,Vertigan,26,Masculino,Back,3.67
990,Janene,L'Episcopi,52,Masculino,Front,3.71
991,Deena,Titchener,21,Masculino,Back,2.67
992,Thelma,Lundbeck,39,Femenino,Front,1.47
993,Jeremiah,Edmunds,23,Masculino,Back,1.61
994,Rockwell,McGerr,18,Masculino,Front,0.67
995,Hadlee,Davydenko,34,,Back,
996,Shawnee,Beamand,27,Femenino,FullS,
997,Hyacinthie,Vanni,16,Femenino,FullS,0.32
998,Alissa,Bachelar,34,No Binario,Front,0.45
999,Cassandre,Leethem,31,Masculino,Back,0.61
1000,Clemmie,Redpath,56,Femenino,Front,3.67
